## Master file format version 1.0           2001.08.21 CCT&NRV

                         2021 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - December 16, 2021 - CCT

  SESSION      SESSION DATE  DOY TIME  DUR       STATIONS                            SKED CORR STATUS  PF  DBC SUBM  DEL  MK4
    NAME         CODE  mondd ddd hh:mm hr                                                      yymondd    CODE      days  NUM 
------------------------------------------------------------------------------------------------------------------------------
|VGOS-B1067    |B21067|MAR08| 67|18:30|1.0|IsOeOw                                   |DACH|OSO |       |    |VB|NASA|   0|    |
|IN121-068     |I21068|MAR09| 68|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-069     |I21069|MAR10| 69|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-070     |I21070|MAR11| 70|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21070    |V21070|MAR11| 70|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN121-071     |I21071|MAR12| 71|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN221-072     |Q21072|MAR13| 72|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN221-073     |Q21073|MAR14| 73|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN321-074     |Q21074|MAR15| 74|07:00|1.0|ShWnWz                                   |DACH|BONN|       |    |XK|NASA|   0|    |
|VGOS-C1074    |C21074|MAR15| 74|07:00|1.0|IsOeOw                                   |DACH|OSO |       |    |VC|OSO |   0|    |
|IN121-074     |I21074|MAR15| 74|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21074    |V21074|MAR15| 74|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN121-075     |I21075|MAR16| 75|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-077     |I21077|MAR18| 77|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21077    |V21077|MAR18| 77|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VGOS-B1077    |B21077|MAR18| 77|18:30|1.0|IsOeOw                                   |DACH|OSO |       |    |VB|NASA|   0|    |
|IN121-078     |I21078|MAR19| 78|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN221-079     |Q21079|MAR20| 79|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN221-080     |Q21080|MAR21| 80|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN321-081     |Q21081|MAR22| 81|07:00|1.0|ShWnWz                                   |DACH|BONN|       |    |XK|NASA|   0|    |
|VGOS-C1081    |C21081|MAR22| 81|07:00|1.0|IsOeOw                                   |DACH|OSO |       |    |VC|OSO |   0|    |
|IN121-081     |I21081|MAR22| 81|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-082     |I21082|MAR23| 82|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21082    |V21082|MAR23| 82|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN121-083     |I21083|MAR24| 83|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-084     |I21084|MAR25| 84|18:30|1.0|KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21084    |V21084|MAR25| 84|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VGOS-B1084    |B21084|MAR25| 84|18:30|1.0|IsOeOw                                   |DACH|OSO |       |    |VB|NASA|   0|    |
|IN121-085     |I21085|MAR26| 85|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN221-086     |Q21086|MAR27| 86|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN221-087     |Q21087|MAR28| 87|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN321-088     |Q21088|MAR29| 88|07:00|1.0|ShWnWz                                   |DACH|BONN|       |    |XK|NASA|   0|    |
|VGOS-C1088    |C21088|MAR29| 88|07:00|1.0|IsOeOw                                   |DACH|OSO |       |    |VC|OSO |   0|    |
|IN121-088     |I21088|MAR29| 88|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21088    |V21088|MAR29| 88|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VGOS-B1088    |B21088|MAR29| 88|18:30|1.0|IsOeOw                                   |DACH|OSO |       |    |VB|NASA|   0|    |
|IN121-089     |I21089|MAR30| 89|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-090     |I21090|MAR31| 90|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
------------------------------------------------------------------------------------------------------------------------------
|IN121-091     |I21091|APR01| 91|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21091    |V21091|APR01| 91|18:45|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN221-093     |Q21093|APR03| 93|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN221-094     |Q21094|APR04| 94|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN121-096     |I21096|APR06| 96|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21096    |V21096|APR06| 96|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
